playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1288014080,J. Barditch,Jonny Barditch,Barditch,2B,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.267,6,.200,0,0,0,.200,.333,0.0%,0.0%,0,0,60.0%,0.0%,55.6%
1083569152,J. Kiernan,Jayden Kiernan,Kiernan,DH,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.353,211,.317,15,0,1,.415,.389,16.1%,9.5%,34,20,43.7%,18.2%,20.6%
1081783552,A. Baeza,Alex Baeza,Baeza,1B,University of Utah,UTAH,730328320,Utah,BBC,L,L,L,.357,235,.284,17,3,4,.458,.368,23.8%,9.4%,56,22,44.7%,24.0%,20.2%
1183838720,T. Clarkson,Tj Clarkson,Clarkson,DH,University of Utah,UTAH,730328320,Utah,BBC,L,L,L,.406,227,.284,10,1,11,.530,.410,25.6%,11.0%,58,25,41.9%,25.6%,20.4%
1318153472,M. Richardson,Matt Richardson,Richardson,2B,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.306,199,.230,10,0,2,.327,.344,18.6%,8.5%,37,17,45.9%,21.8%,20.9%
1092163072,B. Rudy,Brock Rudy,Rudy,C,University of Utah,UTAH,730328320,Utah,BBC,L,R,L,.442,2,.500,0,0,0,.500,.500,50.0%,0.0%,1,0,50.0%,50.0%,25.0%
1100323328,B. Graham,Britt Graham,Graham,C,University of Utah,UTAH,730328320,Utah,BBC,S,R,S,.252,35,.194,0,1,0,.258,.286,28.6%,8.6%,10,3,43.0%,19.0%,19.4%
1148132608,G. Singer,Gabe Singer,Singer,2B,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.286,30,.222,0,0,0,.222,.364,13.3%,13.3%,4,4,46.0%,15.2%,31.6%
1333127680,K. Roberts,Kai Roberts,Roberts,3B,University of Utah,UTAH,730328320,Utah,BBC,L,R,L,.357,241,.266,12,3,4,.417,.390,27.4%,14.5%,66,35,45.7%,33.4%,22.9%
1111435520,Z. Skansi,Zane Skansi,Skansi,RF,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.390,5,.250,1,0,0,.500,.400,20.0%,20.0%,1,1,60.0%,16.7%,41.7%
1161453056,C. Anderson,Chase Anderson,Anderson,3B,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.394,248,.298,13,4,7,.502,.407,20.2%,14.1%,50,35,36.6%,20.9%,13.5%
1182421248,C. Booth,Carter Booth,Booth,LF,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.311,149,.218,7,4,3,.411,.303,27.5%,6.7%,41,10,48.0%,27.9%,27.7%
1310964224,J. Clemett,Jackson Clemett,Clemett,PH,University of Utah,UTAH,730328320,Utah,BBC,L,L,L,.315,27,.167,1,0,0,.222,.400,25.9%,22.2%,7,6,36.8%,25.7%,9.8%
1146415104,D. Cop,Davis Cop,Cop,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.376,154,.357,7,0,3,.471,.391,14.3%,3.2%,22,5,53.0%,18.3%,28.1%
1083615744,B. Kuehl,Bransen Kuehl,Kuehl,P,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.120,6,.000,0,0,0,.000,.167,16.7%,0.0%,1,0,45.5%,20.0%,12.5%
1285784320,L. Frei,Landon Frei,Frei,2B,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.358,242,.319,9,0,3,.407,.399,8.7%,11.2%,21,27,37.6%,11.8%,15.3%
1333120000,D. Duffalo,Dakota Duffalo,Duffalo,RF,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.352,133,.296,7,1,3,.452,.354,22.6%,4.5%,30,6,47.8%,25.4%,26.7%
1136410112,Z. Toglia,Zach Toglia,Toglia,DH,University of Utah,UTAH,730328320,Utah,BBC,R,R,R,.138,5,.000,0,0,0,.000,.200,0.0%,20.0%,0,1,33.3%,0.0%,0.0%
