playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1141691904,M. Mcdermott,Matt Mcdermott,Mcdermott,2B,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.308,338,.266,23,3,6,.417,.306,18.0%,4.4%,61,15,55.2%,22.4%,30.0%
1161753088,C. Ragone,Cole Ragone,Ragone,2B,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.339,207,.283,11,1,6,.451,.340,24.6%,7.2%,51,15,47.5%,30.5%,25.0%
1195948032,B. Raquet,Brandon Raquet,Raquet,LF,College of William & Mary,WM,730232064,William & Mary,BBC,S,R,S,.375,123,.276,6,1,3,.449,.415,37.4%,14.6%,46,18,40.4%,39.2%,16.0%
1243682048,M. Trehub,Matthew Trehub,Trehub,C,College of William & Mary,WM,730232064,William & Mary,BBC,L,R,L,.315,267,.239,11,2,3,.347,.355,17.6%,11.6%,47,31,39.7%,19.4%,18.0%
1309560832,M. Thomas,Matt Thomas,Thomas,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.358,482,.277,24,2,12,.435,.383,18.0%,12.0%,87,58,40.8%,21.0%,16.7%
1309732096,J. Cone,Jack Cone,Cone,P,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,S,.312,454,.251,14,5,9,.384,.333,12.3%,8.4%,56,38,43.7%,13.2%,19.2%
1112520960,D. Hogarth,David Hogarth,Hogarth,CF,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.288,346,.237,7,3,2,.303,.330,9.8%,9.5%,34,33,38.5%,10.7%,18.9%
1112521472,D. Angstadt,David Angstadt,Angstadt,LF,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.318,11,.222,1,0,0,.333,.364,45.5%,9.1%,5,1,44.1%,26.9%,16.7%
1207654400,P. Conti,Phil Conti,Conti,SS,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.236,124,.144,2,2,2,.260,.252,38.7%,9.7%,48,12,46.7%,37.3%,30.3%
1303264000,H. Hart,Hunter Hart,Hart,1B,College of William & Mary,WM,730232064,William & Mary,BBC,S,R,S,.279,214,.218,5,2,0,.268,.333,22.4%,12.1%,48,26,43.3%,24.6%,20.7%
1141692416,W. Evans,Will Evans,Evans,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.690,2,-,0,0,0,-,1.000,0.0%,100.0%,0,2,18.2%,0.0%,0.0%
1282405376,H. Smith,Hunter Smith,Smith,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.366,185,.270,8,0,11,.528,.368,24.9%,10.8%,46,20,42.2%,29.1%,15.8%
1301290496,K. Wrighte,Kyle Wrighte,Wrighte,SS,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.261,169,.167,4,2,2,.268,.299,26.6%,12.4%,45,21,34.3%,25.1%,10.9%
1303339008,Z. Pearson,Zach Pearson,Pearson,3B,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.329,173,.309,12,3,1,.438,.341,10.4%,4.0%,18,7,59.4%,17.8%,29.6%
1112521216,C. Lipke,Colin Lipke,Lipke,DH,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.222,32,.167,4,0,0,.300,.219,43.8%,6.3%,14,2,47.1%,44.6%,31.9%
1307161856,J. Waldman,Jason Waldman,Waldman,1B,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.376,60,.244,2,0,2,.422,.433,21.7%,18.3%,13,11,38.2%,29.1%,17.1%
1305378816,O. Socher,Owen Socher,Socher,DH,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,R,.335,124,.213,5,2,1,.340,.395,12.9%,12.9%,16,16,39.8%,16.0%,15.5%
