playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1200440064,P. Schmidt,Parker Schmidt,Schmidt,LF,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.326,164,.304,4,0,3,.392,.346,18.3%,4.9%,30,8,50.4%,22.5%,34.5%
1081214720,T. Hollow,Tyler Hollow,Hollow,2B,Dixie State University,DSU,730318592,Dixie State,BBC,L,R,S,.343,239,.299,7,1,4,.406,.374,15.9%,9.6%,38,23,40.8%,19.2%,22.1%
1081214976,K. Hollow,Kaden Hollow,Hollow,C,Dixie State University,DSU,730318592,Dixie State,BBC,L,R,L,.401,232,.320,11,1,8,.508,.414,17.7%,12.1%,41,28,42.0%,18.2%,21.3%
1177143552,T. Fisher,Tyson Fisher,Fisher,RF,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.385,188,.287,10,1,9,.524,.372,25.0%,10.1%,47,19,44.2%,30.6%,25.8%
1188696064,M. Ivancich,Mathew Ivancich,Ivancich,SS,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.339,165,.291,5,1,3,.404,.363,27.9%,8.5%,46,14,43.6%,29.9%,24.0%
1200499456,J. Leavitt,Jagun Leavitt,Leavitt,CF,Dixie State University,DSU,730318592,Dixie State,BBC,S,L,S,.343,188,.257,5,1,2,.350,.398,18.1%,16.0%,34,30,35.1%,17.0%,17.7%
1200500736,J. Schulz,Jake Schulz,Schulz,SS,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.126,26,.087,0,0,0,.087,.160,38.5%,7.7%,10,2,43.3%,33.3%,15.6%
1318087424,Z. Thomas,Zach Thomas,Thomas,P,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,S,.330,122,.276,4,1,4,.448,.322,13.1%,4.9%,16,6,44.3%,16.8%,26.9%
1135068416,J. Walker,Jack Walker,Walker,CF,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.325,87,.271,4,0,0,.329,.381,25.3%,12.6%,22,11,39.8%,24.6%,24.9%
1177143296,S. Taylor,Shane Taylor,Taylor,3B,Dixie State University,DSU,730318592,Dixie State,BBC,L,R,L,.415,246,.352,13,1,5,.503,.453,19.9%,15.9%,49,39,37.6%,18.8%,17.8%
1177143808,H. Dodson,Hank Dodson,Dodson,C,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.290,25,.190,1,0,1,.381,.280,4.0%,0.0%,1,0,38.9%,5.4%,18.4%
1200500480,C. Rodriguez,Chase Rodriguez,Rodriguez,CF,Dixie State University,DSU,730318592,Dixie State,BBC,L,L,S,.372,132,.294,7,1,2,.431,.405,24.2%,11.4%,32,15,40.7%,25.1%,19.6%
1318087680,L. Levine,Landon Levine,Levine,LF,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.225,25,.182,0,0,0,.182,.280,16.0%,8.0%,4,2,56.1%,32.6%,32.6%
1318088960,D. Holliday,Dillon Holliday,Holliday,P,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.000,1,.000,0,0,0,.000,.000,100.0%,0.0%,1,0,100.0%,100.0%,100.0%
1212694784,S. Keating,Sean Keating,Keating,1B,Dixie State University,DSU,730318592,Dixie State,BBC,L,L,L,.340,95,.263,4,0,2,.395,.367,18.9%,11.6%,18,11,48.0%,27.3%,29.2%
1330338048,W. Chambers,Will Chambers,Chambers,DH,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,S,.338,113,.242,4,0,2,.352,.384,32.7%,15.9%,37,18,41.7%,34.6%,22.1%
1338857216,K. Davis,Keith Davis,Davis,DH,Dixie State University,DSU,730318592,Dixie State,BBC,S,R,S,.239,31,.214,0,0,0,.214,.290,12.9%,6.5%,4,2,43.5%,14.0%,17.3%
1190487040,E. He,Ethan He,He,SS,Dixie State University,DSU,730318592,Dixie State,BBC,R,R,R,.375,76,.271,5,0,1,.407,.419,18.4%,11.8%,14,9,38.9%,20.7%,16.9%
