playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1203296512,D. Hack,Devin Hack,Hack,LF,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,L,L,.328,226,.262,11,3,1,.366,.363,17.7%,11.9%,40,27,40.8%,19.5%,15.2%
1203296768,S. Pokrovsky,Staus Pokrovsky,Pokrovsky,DH,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.373,83,.254,5,0,3,.463,.383,33.7%,12.0%,28,10,38.0%,32.8%,17.3%
1304395008,A. Clyde,Alex Clyde,Clyde,SS,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.310,87,.239,2,1,1,.338,.341,11.5%,8.0%,10,7,42.1%,13.5%,22.7%
1095209984,W. Gale,William Gale,Gale,LF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.337,138,.323,5,2,0,.394,.368,19.6%,5.8%,27,8,48.1%,18.5%,27.4%
1203295744,J. Luders,Jonathan Luders,Luders,2B,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.351,140,.333,5,0,0,.375,.404,7.1%,5.7%,10,8,41.6%,7.3%,18.7%
1232633088,D. Haberman,David Haberman,Haberman,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.332,88,.222,6,0,2,.389,.352,19.3%,14.8%,17,13,38.8%,20.7%,16.2%
1301535488,S. Grober,Steve Grober,Grober,SS,Seton Hall University,HALL,730272512,Seton Hall,BBC,S,R,S,.308,177,.255,7,1,1,.336,.347,18.6%,11.3%,33,20,43.9%,22.0%,15.5%
1306819840,B. Sheppard,Bobby Sheppard,Sheppard,DH,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.295,3,.333,0,0,0,.333,.333,33.3%,0.0%,1,0,41.7%,40.0%,20.0%
1130391552,M. Mcnelly,Mark Mcnelly,Mcnelly,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.277,154,.235,5,1,0,.288,.318,20.8%,7.8%,32,12,43.7%,25.4%,15.9%
1321028864,C. Sheehan,Collin Sheehan,Sheehan,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,L,L,.268,135,.207,5,3,1,.322,.278,28.1%,8.1%,38,11,48.3%,30.4%,24.4%
1097768192,D. Hoggard,Dave Hoggard,Hoggard,2B,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.230,3,.000,0,0,0,.000,.333,33.3%,33.3%,1,1,46.7%,28.6%,0.0%
1119930368,Z. Sylvester,Zack Sylvester,Sylvester,2B,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.314,124,.245,7,0,1,.340,.350,13.7%,12.1%,17,15,41.5%,11.7%,12.4%
1140732160,J. Scotto,Justin Scotto,Scotto,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,R,L,.331,70,.237,2,0,2,.373,.357,15.7%,11.4%,11,8,48.5%,19.5%,19.6%
1077600000,J. Hernandez,Jedier Hernandez,Hernandez,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.271,133,.258,7,0,0,.317,.295,21.8%,3.8%,29,5,51.4%,30.1%,22.6%
1100794880,P. D'amico,Pat D'amico,D'amico,3B,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.264,151,.214,2,0,1,.252,.311,21.2%,11.3%,32,17,41.0%,23.0%,18.3%
1137179904,O. Murray,Oscar Murray,Murray,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,R,L,.273,119,.184,2,0,2,.265,.310,25.2%,7.6%,30,9,46.8%,25.2%,19.2%
1284015104,M. Moss,Michael Callan Moss,Moss,DH,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.265,73,.232,2,0,2,.348,.260,30.1%,4.1%,22,3,48.5%,38.9%,24.8%
1077599744,J. Wentworth,Jack Wentworth,Wentworth,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,.250,20,.176,0,1,0,.294,.263,55.0%,10.0%,11,2,42.9%,46.2%,24.4%
1286166529,E. Hickson,Ethan Hickson,Hickson,LF,Seton Hall University,HALL,730272512,Seton Hall,BBC,L,L,L,.000,3,.000,0,0,0,.000,.000,66.7%,0.0%,2,0,46.2%,50.0%,16.7%
