playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1102182656,R. Turenne,Ryan Turenne,Turenne,1B,University of Maine,ME,730275840,Maine,BBC,L,R,S,.263,148,.211,7,0,2,.313,.278,19.6%,6.8%,29,10,50.1%,24.3%,31.4%
1172114688,C. Emmertz,Colby Emmertz,Emmertz,2B,University of Maine,ME,730275840,Maine,BBC,R,R,R,.285,38,.233,1,0,0,.267,.342,13.2%,5.3%,5,2,42.6%,15.9%,32.4%
1250752768,J. Rainess,Jake Rainess,Rainess,SS,University of Maine,ME,730275840,Maine,BBC,R,R,R,.386,65,.321,3,0,2,.482,.400,24.6%,4.6%,16,3,48.6%,26.0%,32.4%
1270600960,J. Bramanti,Joe Bramanti,Bramanti,1B,University of Maine,ME,730275840,Maine,BBC,R,R,R,.424,206,.269,16,0,14,.617,.393,23.3%,11.2%,48,23,47.7%,27.9%,29.3%
1122232576,J. Schulefand,Jordan Schulefand,Schulefand,CF,University of Maine,ME,730275840,Maine,BBC,R,R,R,.448,201,.377,13,1,5,.566,.477,10.0%,12.4%,20,25,43.6%,18.2%,23.6%
1267875328,D. Mcnary,Dylan Mcnary,Mcnary,3B,University of Maine,ME,730275840,Maine,BBC,R,R,R,.455,10,.333,0,0,0,.333,.600,10.0%,30.0%,1,3,25.0%,22.2%,4.5%
1216974336,C. Goodman,Connor Goodman,Goodman,2B,University of Maine,ME,730275840,Maine,BBC,R,R,R,.420,129,.326,7,1,1,.461,.483,4.7%,17.1%,6,22,31.9%,6.6%,17.2%
1243790592,Q. Mcdaniel,Quinn Mcdaniel,Mcdaniel,2B,University of Maine,ME,730275840,Maine,BBC,R,R,R,.427,210,.327,11,3,10,.602,.415,18.6%,12.9%,39,27,46.2%,21.3%,27.5%
1243790848,J. Mejia,Jeff Mejia,Mejia,CF,University of Maine,ME,730275840,Maine,BBC,L,R,S,.352,160,.295,5,1,1,.371,.404,14.4%,13.1%,23,21,37.8%,13.2%,21.5%
1243791104,C. Plante,Colin Plante,Plante,RF,University of Maine,ME,730275840,Maine,BBC,L,R,S,.310,28,.273,1,0,0,.318,.360,21.4%,10.7%,6,3,46.8%,18.2%,20.5%
1243791360,J. Marquez,Jake Marquez,Marquez,SS,University of Maine,ME,730275840,Maine,BBC,R,R,R,.319,182,.278,10,0,2,.380,.341,15.9%,6.0%,29,11,51.4%,19.4%,35.8%
1307201024,S. Knotts,Scout Knotts,Knotts,LF,University of Maine,ME,730275840,Maine,BBC,R,R,R,.389,199,.287,8,1,9,.509,.388,19.6%,12.1%,39,24,37.6%,19.9%,20.8%
1084033024,J. Jenkins,Jeremiah Jenkins,Jenkins,DH,University of Maine,ME,730275840,Maine,BBC,L,R,S,.410,182,.295,6,3,7,.521,.423,18.7%,10.4%,34,19,45.3%,22.0%,25.7%
1258112000,M. Sargent,Myles Sargent,Sargent,3B,University of Maine,ME,730275840,Maine,BBC,R,R,R,.334,23,.250,0,0,1,.400,.348,39.1%,13.0%,9,3,46.4%,43.6%,26.2%
1162475520,C. Macdonald,Camden Macdonald,Macdonald,C,University of Maine,ME,730275840,Maine,BBC,R,R,R,.221,4,.250,0,0,0,.250,.250,50.0%,0.0%,2,0,55.6%,50.0%,0.0%
1309474560,M. Pratte,Mike Pratte,Pratte,RF,University of Maine,ME,730275840,Maine,BBC,L,L,L,.229,28,.143,0,0,0,.143,.296,7.1%,7.1%,2,2,52.2%,18.8%,37.1%
1106771456,C. Probst,Cy Probst,Probst,C,University of Maine,ME,730275840,Maine,BBC,R,R,R,.147,6,.167,0,0,0,.167,.167,66.7%,0.0%,4,0,41.9%,38.5%,30.4%
