playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1184446976,T. Josten,Tom Josten,Josten,2B,University of Central Florida,UCF,730256640,Central Florida,BBC,S,R,S,.397,214,.287,11,2,7,.503,.411,17.3%,11.2%,37,24,42.0%,23.5%,19.5%
1186315264,G. Pena,Gephry Pena,Pena,CF,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.387,277,.333,8,4,6,.475,.409,23.5%,9.0%,65,25,48.8%,25.3%,26.1%
1208382720,N. Romano,Nick Romano,Romano,DH,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.498,50,.366,3,1,3,.707,.480,28.0%,16.0%,14,8,40.6%,24.4%,25.5%
1208383232,A. Brait,Andrew Brait,Brait,3B,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.279,7,.200,1,0,0,.400,.286,0.0%,14.3%,0,1,35.7%,0.0%,15.4%
1317270784,N. Orlando,Noah Orlando,Orlando,SS,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.416,214,.324,7,3,8,.534,.429,23.8%,13.6%,51,29,38.2%,25.9%,16.5%
1172514048,R. Wash,Riley Wash,Wash,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.299,69,.254,5,0,1,.381,.299,29.0%,4.3%,20,3,49.4%,29.0%,31.6%
1078211840,B. Mccabe,Ben Mccabe,Mccabe,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.390,249,.298,11,0,14,.544,.366,21.3%,7.2%,53,18,50.6%,26.3%,28.9%
1208381696,T. Taylor,Trent Taylor,Taylor,RF,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.336,153,.246,8,2,2,.393,.362,29.4%,12.4%,45,19,43.2%,28.1%,26.8%
1208383488,P. Ruiz,Pablo Ruiz,Ruiz,RF,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.294,102,.217,6,0,3,.380,.287,19.6%,8.8%,20,9,53.4%,28.9%,34.6%
1269175808,B. Rushing,Ben Rushing,Rushing,1B,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.270,40,.243,0,0,1,.324,.282,42.5%,5.0%,17,2,47.0%,35.9%,31.8%
1141836800,A. Freeland,Alex Freeland,Freeland,SS,University of Central Florida,UCF,730256640,Central Florida,BBC,S,R,S,.413,179,.280,8,0,11,.566,.410,17.9%,15.6%,32,28,40.4%,24.2%,14.8%
1100799488,J. Montes,John Montes,Montes,2B,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,L,.235,27,.182,0,0,0,.182,.296,29.6%,7.4%,8,2,51.5%,19.6%,21.3%
1086008064,L. Boedicker,Lex Boedicker,Boedicker,LF,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,L,.376,215,.332,8,2,2,.428,.416,22.3%,9.3%,48,20,41.8%,23.9%,24.7%
1141430784,M. Brooks,Michael Brooks,Brooks,3B,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.358,218,.256,6,2,7,.432,.380,12.4%,15.1%,27,33,43.1%,17.5%,22.4%
1146351872,J. Ambos,Jason Ambos,Ambos,CF,University of Central Florida,UCF,730256640,Central Florida,BBC,S,R,S,.172,4,.000,0,0,0,.000,.250,25.0%,25.0%,1,1,23.5%,0.0%,0.0%
1207832064,R. Taylor,Ryan Taylor,Taylor,2B,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,L,.290,100,.230,3,0,1,.299,.330,32.0%,11.0%,32,11,43.9%,31.1%,19.6%
1273286400,C. Russo,Cole Russo,Russo,C,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,L,.260,99,.228,4,0,2,.337,.258,35.4%,3.0%,35,3,48.6%,36.7%,26.2%
1273285632,B. Napier,Brogan Napier,Napier,PH,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.068,13,.077,0,0,0,.077,.077,61.5%,0.0%,8,0,50.0%,53.3%,38.9%
1273292544,A. Sundean,Andrew Sundean,Sundean,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,.424,157,.348,13,0,5,.556,.422,10.2%,0.6%,16,1,51.1%,16.2%,34.1%
