playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1119756288,C. Deaville,Colby Deaville,Deaville,SS,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.365,196,.299,8,1,4,.431,.392,25.0%,9.7%,49,19,40.2%,23.3%,18.0%
1119756544,G. Schulz,Grant Schulz,Schulz,3B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.312,246,.277,9,1,6,.406,.313,13.0%,5.3%,32,13,48.9%,15.5%,27.7%
1136964096,T. Henry,Trace Henry,Henry,RF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,L,R,.321,215,.283,5,3,0,.344,.367,17.2%,8.8%,37,19,44.3%,13.3%,19.4%
1183372288,M. Holt,Mason Holt,Holt,CF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.434,251,.317,14,3,15,.615,.404,20.7%,10.8%,52,27,42.2%,23.9%,17.1%
1169012224,R. Cupit,Ryan Cupit,Cupit,RF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,L,S,.398,228,.299,6,3,0,.372,.487,19.7%,24.6%,45,56,32.2%,22.4%,13.9%
1158558208,M. Cervantes,Michael Cervantes,Cervantes,2B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.223,27,.167,1,0,0,.208,.259,40.7%,7.4%,11,2,42.1%,40.0%,33.3%
1185351424,C. Jones,Carson Jones,Jones,2B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,S,.319,149,.225,8,1,4,.395,.324,24.2%,11.4%,36,17,40.1%,22.4%,19.9%
1185351936,T. Washburn,Travis Washburn,Washburn,2B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,L,L,.296,125,.204,2,2,3,.350,.317,27.2%,12.8%,34,16,39.7%,24.0%,18.7%
1172053760,M. Bihm,Matthew Bihm,Bihm,PH,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,S,R,L,.000,1,.000,0,0,0,.000,.000,100.0%,0.0%,1,0,40.0%,100.0%,-
1185351168,M. Lee,Mathew Lee,Lee,LF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.360,97,.260,1,0,2,.356,.419,35.1%,16.5%,34,16,37.9%,35.7%,17.4%
1172950528,L. Cato,Landon Cato,Cato,DH,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.314,106,.223,7,0,4,.426,.295,31.1%,6.6%,33,7,50.5%,31.4%,28.6%
1185352192,C. Noble,Chris Noble,Noble,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,S,R,S,.377,28,.125,1,0,0,.188,.500,32.1%,25.0%,9,7,40.9%,48.1%,23.4%
1112684033,C. Sterling,Caleb Sterling,Sterling,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,L,L,.254,93,.190,3,0,2,.304,.261,23.7%,7.5%,22,7,43.8%,21.6%,22.0%
1124296960,W. Perkins,William Perkins,Perkins,LF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.289,12,.222,0,0,0,.222,.364,41.7%,8.3%,5,1,35.4%,29.4%,19.0%
1226350592,M. Artzberger,Michelle Artzberger,Artzberger,1B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,L,L,.335,189,.259,11,0,5,.416,.342,21.7%,10.1%,41,19,39.5%,22.0%,19.1%
1310276096,A. Beech,Austin Beech,Beech,DH,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,S,R,S,.314,82,.260,5,0,1,.370,.333,31.7%,7.3%,26,6,49.1%,28.0%,27.4%
1122064128,C. Dejean,Chase Dejean,Dejean,3B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.286,95,.253,3,0,2,.361,.293,28.4%,4.2%,27,4,57.6%,44.7%,38.9%
1333052160,G. Freeman,Gus Freeman,Freeman,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,R,.296,13,.200,1,0,0,.300,.333,23.1%,7.7%,3,1,44.0%,27.3%,23.8%
1175448576,C. Stromboe,Cole Stromboe,Stromboe,RF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,S,R,L,.108,13,.000,0,0,0,.000,.154,30.8%,7.7%,4,1,31.5%,29.4%,33.3%
