playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1113284096,C. Mcguire,Connor Mcguire,Mcguire,3B,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.237,112,.163,5,2,2,.316,.227,23.2%,6.3%,26,7,46.7%,21.2%,21.3%
1135861760,T. Nakawake,Taishi Nakawake,Nakawake,SS,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.299,212,.216,5,1,2,.296,.347,19.3%,11.8%,41,25,38.7%,23.9%,18.9%
1176015104,N. Church,Nathan Church,Church,LF,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,L,.348,243,.308,9,2,4,.425,.370,14.4%,8.6%,35,21,46.3%,18.4%,23.8%
1264333056,J. Castro,Jacob Castro,Castro,C,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,L,.288,91,.264,5,0,1,.356,.297,20.9%,2.2%,19,2,50.6%,17.6%,30.4%
1074767872,B. Fitzgerald,Ben Fitzgerald,Fitzgerald,LF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,L,.380,201,.273,10,3,7,.497,.384,27.4%,11.9%,55,24,39.9%,28.7%,20.3%
1139711744,L. Spillane,Luke Spillane,Spillane,CF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.286,176,.228,5,2,0,.290,.331,22.7%,10.2%,40,18,38.3%,21.3%,20.7%
1188010752,W. Hadeen,Woody Hadeen,Hadeen,SS,UC Irvine,UCI,3031,UC Irvine,BBC,S,R,S,.363,228,.269,6,3,1,.357,.429,14.0%,12.7%,32,29,35.2%,16.3%,12.2%
1111437056,C. Kendle,Caden Kendle,Kendle,RF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.434,154,.331,5,1,6,.537,.461,13.6%,11.0%,21,17,36.1%,18.2%,19.6%
1137176064,J. Torres,Justin Torres,Torres,LF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,L,.385,233,.286,16,3,7,.505,.386,25.3%,10.3%,59,24,42.4%,30.0%,22.0%
1302630656,T. Mccaffrey,Thomas Mccaffrey,Mccaffrey,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.320,164,.229,8,1,5,.407,.319,24.4%,8.5%,40,14,41.3%,29.7%,22.7%
1111436544,A. Garcia-pacheco,Abraham Garcia-pacheco,Garcia-pacheco,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.308,143,.254,2,0,0,.272,.377,18.2%,9.8%,26,14,37.0%,15.8%,15.0%
1174781696,B. Penso,Blake Penso,Penso,1B,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.266,18,.200,0,0,0,.200,.333,50.0%,5.6%,9,1,43.1%,58.1%,20.6%
1142522368,C. Call,Chase Call,Call,RF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.531,7,.500,1,0,0,.667,.571,14.3%,14.3%,1,1,45.5%,6.7%,21.1%
1330098177,D. Gleed,Dub Gleed,Gleed,DH,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,R,.340,207,.275,12,2,2,.399,.364,17.4%,6.3%,36,13,37.6%,21.2%,21.5%
1176418560,M. Smith,Myles Smith,Smith,LF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,L,.334,58,.227,2,0,1,.341,.386,29.3%,20.7%,17,12,30.3%,17.8%,14.6%
