playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1171666944,L. Hill,Lawson Hill,Hill,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.419,256,.381,18,1,2,.502,.458,4.7%,11.3%,12,29,40.9%,8.8%,16.6%
1247060736,B. Dorighi,Brennen Dorighi,Dorighi,LF,Wofford College,WOF,730176512,Wofford,BBC,L,R,L,.397,207,.337,12,1,7,.530,.395,20.3%,9.2%,42,19,45.8%,24.1%,24.3%
1270952192,J. Dempsey,John Dempsey,Dempsey,3B,Wofford College,WOF,730176512,Wofford,BBC,L,R,L,.465,255,.369,16,0,12,.621,.470,12.2%,13.3%,31,34,46.9%,22.9%,25.6%
1270953216,N. Hester,Nolen Hester,Hester,LF,Wofford College,WOF,730176512,Wofford,BBC,L,L,L,.370,259,.303,11,0,2,.388,.428,8.9%,12.4%,23,32,39.6%,10.1%,16.8%
1281032192,T. Yunger,Trey Yunger,Yunger,DH,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.353,179,.297,4,4,0,.378,.403,17.9%,11.7%,32,21,42.1%,18.2%,16.1%
1281032448,S. Lussier,Shane Lussier,Lussier,2B,Wofford College,WOF,730176512,Wofford,BBC,L,R,L,.288,32,.250,0,0,0,.250,.357,31.3%,12.5%,10,4,38.0%,28.3%,15.9%
1281032704,R. Galanie,Ryan Galanie,Galanie,3B,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.456,257,.330,9,5,16,.651,.438,19.8%,12.5%,51,32,45.7%,26.0%,22.8%
1102313728,M. Brown,Matty Brown,Brown,SS,Wofford College,WOF,730176512,Wofford,BBC,S,R,S,.111,8,.125,0,0,0,.125,.125,62.5%,0.0%,5,0,50.0%,60.0%,50.0%
1092324352,C. Gill,Cameron Gill,Gill,2B,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.264,58,.156,0,1,0,.200,.328,24.1%,13.8%,14,8,42.5%,23.1%,19.8%
1113910784,Z. Roos,Zeb Roos,Roos,LF,Wofford College,WOF,730176512,Wofford,BBC,R,L,R,.358,130,.275,4,0,1,.352,.425,14.6%,13.1%,19,17,37.9%,17.5%,14.1%
1317507072,J. Renwick,Jack Renwick,Renwick,3B,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.331,255,.255,14,2,4,.394,.352,15.7%,9.0%,40,23,41.1%,19.6%,19.0%
1317508352,A. Calhoun,Andrew Calhoun,Calhoun,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.328,9,.222,0,0,1,.556,.222,44.4%,0.0%,4,0,58.5%,37.5%,16.7%
1317507584,A. Thomas,Aaron Thomas,Thomas,RF,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.764,3,1.000,0,0,0,1.000,1.000,0.0%,33.3%,0,1,21.4%,33.3%,0.0%
1092632576,M. Toole,Marshall Toole,Toole,CF,Wofford College,WOF,730176512,Wofford,BBC,L,R,S,.360,115,.256,3,1,0,.317,.441,24.3%,16.5%,28,19,32.3%,27.6%,18.8%
1099421184,B. Schulte,Ben Schulte,Schulte,DH,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.368,15,.273,1,0,0,.364,.429,33.3%,6.7%,5,1,31.7%,45.0%,21.6%
1310269440,B. Martinez,Brice Martinez,Martinez,2B,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.362,179,.324,6,1,1,.399,.411,12.3%,10.6%,22,19,41.6%,11.8%,19.5%
1331048448,G. Johnson,Gunnar Johnson,Johnson,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.429,40,.406,4,0,0,.531,.475,17.5%,12.5%,7,5,38.0%,25.0%,13.9%
1184451840,D. Wiley,David Wiley,Wiley,LF,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.222,19,.133,1,0,0,.200,.263,21.1%,15.8%,4,3,40.2%,24.2%,15.0%
1237055488,C. Larson,Connor Larson,Larson,SS,Wofford College,WOF,730176512,Wofford,BBC,R,R,R,.884,1,1.000,0,0,0,1.000,1.000,0.0%,0.0%,0,0,20.0%,0.0%,25.0%
