"No","Player ID","Player Name","MLB ID","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","Release Extension (ft)","VB (trajectory)","HB (trajectory)","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Gyro Degree (deg)","Unique ID","Device Serial Number"
22,934057,"Brett Dunham","-","Sun Sep 18 2022 5:25:54 PM",1663521954,"Fastball","NO","15.76","42.10",79.94,1580.1,1580,100,"02:16",0.8,1.92419052,"7.05","21.53","7.0","18.0","-3.14","0.74","4.72","2.41","0.55","934057@1663521954","RBB20XBNR56R"
23,934057,"Brett Dunham","-","Sun Sep 18 2022 5:26:08 PM",1663521968,"Fastball","NO","33.88","52.49",81.4,1596.7,1544.4,96.7,"02:00",0.8,1.82135391,"9.29","22.89","9.3","16.2","-1.51","1.23","4.80","2.32","14.71","934057@1663521968","RBB20XBNR56R"
24,934057,"Brett Dunham","-","Sun Sep 18 2022 5:26:23 PM",1663521983,"Fastball","NO","29.90","37.07",79.11,1583.9,1583.9,100,"02:28",0.9,2.06788445,"5.05","21.68","5.0","18.4","-1.82","1.28","4.74","2.35","-0.45","934057@1663521983","RBB20XBNR56R"
25,934057,"Brett Dunham","-","Sun Sep 18 2022 5:26:36 PM",1663521996,"Fastball","NO","9.14","50.21",77.3,1787.1,853.9,47.8,"10:38",0.5,2.04877281,"7.37","23.07","7.4","-5.8","-3.70","1.76","4.69","2.22","-61.46","934057@1663521996","RBB20XBNR56R"
26,934057,"Brett Dunham","-","Sun Sep 18 2022 5:26:49 PM",1663522009,"Fastball","NO","16.38","41.99",78.98,1733.4,1690.6,97.5,"02:22",0.9,2.00297356,"6.28","20.93","6.3","18.5","-2.84","2.01","4.48","2.22","12.75","934057@1663522009","RBB20XBNR56R"
27,934057,"Brett Dunham","-","Sun Sep 18 2022 5:28:23 PM",1663522103,"Fastball","NO","-8.42","0.80",72.05,2347.5,1736.4,74,"07:30",0.9,1.9420414,"-12.45","-14.25","-12.5","-13.8","-2.01","0.58","4.54","2.33","42.30","934057@1663522103","RBB20XBNR56R"
28,934057,"Brett Dunham","-","Sun Sep 18 2022 5:28:41 PM",1663522121,"Fastball","YES","4.89","34.62",73.18,2355.7,2016.3,85.6,"07:42",0.7,1.912056,"-12.40","-12.09","-12.4","-17.0","-0.72","1.69","4.90","2.08","31.14","934057@1663522121","RBB20XBNR56R"
29,934057,"Brett Dunham","-","Sun Sep 18 2022 5:28:58 PM",1663522138,"Fastball","NO","22.90","40.42",74.99,1290.7,964.4,74.7,"10:32",0.9,1.84037018,"9.99","-9.53","10.0","-10.0","0.54","2.10","4.77","2.20","41.66","934057@1663522138","RBB20XBNR56R"
30,934057,"Brett Dunham","-","Sun Sep 18 2022 5:29:21 PM",1663522161,"Fastball","NO","-0.72","46.75",76.45,2304.3,665.6,28.9,"08:44",0.8,1.69145775,"-0.66","-5.61","-0.7","-8.0","-1.98","1.83","4.97","2.26","73.21","934057@1663522161","RBB20XBNR56R"
31,934057,"Brett Dunham","-","Sun Sep 18 2022 5:29:49 PM",1663522189,"-","NO","-","-",86.17,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","934057@1663522189","RBB20XBNR56R"
32,934057,"Brett Dunham","-","Sun Sep 18 2022 5:30:02 PM",1663522202,"Fastball","NO","22.35","58.18",86.85,2023.3,2022.1,99.9,"01:54",0.7,2.00556755,"11.20","25.22","11.2","17.4","-2.65","0.84","5.09","2.19","2.01","934057@1663522202","RBB20XBNR56R"
