fullName,batterAbbrevName,index,gameId,pitchNumInGame,pitchNumInAB,x,y,abNumInGame,Outs,statcastFieldersInitialFielderPosition,probSL,gameVenueId,hasMLBPlayDiagram,home,totalRuns,bat_score,teamId,opponentId,opponentRuns,opponentCurrentRuns,pitchingTeamId,battingTeamId,hang,dist,pathEff,react,speed,jump,wall,infieldDist,infieldTime,outProb,battingTeamId.1,pitchingTeamId.1,pitcherId,catchingTeamId,catcherId,TeamRuns,SBA2,SBA3,SB3,SB2,on_3b,on_2b,on_1b,inning,lineup_number,runs_at_end,runs_by_end,run_expectancy,runs_scored,delta_run_expectancy,run_value,run_scored_by_end?,xRV,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%,OPS,xOBP,xOPS
College of William & Mary,T. Solomon,283151.0646387833,406122001.5551331,142.2110266159696,3.0076045627376424,0.09815986580183404,-0.40756409171075836,39.134980988593156,0.9486692015209125,,,,0.0,0.3973384030418251,4.3688212927756656,2.307984790874525,730232064.0,678880055.825095,6.97148288973384,3.4980988593155895,678880055.825095,730232064.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730232064.0,678880055.825095,1226836303.838403,678880055.825095,1218168227.528517,2.307984790874525,1.0,,,1.0,0.18631178707224336,0.21673003802281368,0.32129277566539927,4.7889733840304185,4.986692015209125,2.6425855513307983,0.33460076045627374,0.7061385278395615,0.024714828897338403,-0.016221718180071256,-0.014091139546790298,0.21102661596958175,-0.035258807477050756,T. Solomon,Tyler Solomon,Solomon,1B,College of William & Mary,WM,730232064,William & Mary,BBC,S,R,S,0.324,277,.242,19,1,5,.394,0.341,24.9%,12.6%,69,35,46.8%,28.4%,21.3%,0.7350000000000001,0.3262862246586389,0.6648717278785624
Seton Hall University,J. Wentworth,190717.05494505496,472910406.3296703,215.35164835164835,3.120879120879121,-0.49371506140917903,-0.21777996860282572,53.0989010989011,1.010989010989011,,,,0.0,0.3516483516483517,6.0,3.065934065934066,730272512.0,569729584.4395604,6.483516483516484,4.593406593406593,569729584.4395604,730272512.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730272512.0,569729584.4395604,1222619369.5274725,569729584.4395604,1230151986.6373627,3.065934065934066,1.0,,,1.0,0.26373626373626374,0.37362637362637363,0.45054945054945056,6.252747252747253,6.978021978021978,3.4175824175824174,0.3516483516483517,0.8926879303195103,0.03296703296703297,-0.049295158942827676,-0.04716458030954672,0.21978021978021978,-0.11372618880811923,J. Wentworth,Jack Wentworth,Wentworth,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,0.25,20,0.176,0,1,0,0.294,0.263,55.0%,10.0%,11,2,42.9%,46.2%,24.4%,0.5569999999999999,0.25720164741893903,0.4765561049136106
Seton Hall University,J. Hernandez,191415.87772925766,406671022.9519651,154.3296943231441,2.6375545851528384,-0.44642139224248645,-0.24766659147869674,40.38646288209607,1.0698689956331877,,,,0.0,0.4868995633187773,4.360262008733624,1.834061135371179,730272512.0,376287094.43449783,7.021834061135372,3.631004366812227,376287094.43449783,730272512.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730272512.0,376287094.43449783,1203382971.2882097,376287094.43449783,1187089160.9432313,1.834061135371179,1.0,1.0,1.0,1.0,0.12663755458515283,0.2074235807860262,0.3537117903930131,4.9803493449781655,7.1965065502183405,2.3122270742358078,0.4781659388646288,0.6423030157328906,0.039301310043668124,-0.01978125244241663,-0.017650673809135674,0.21615720524017468,-0.06270512214299653,J. Hernandez,Jedier Hernandez,Hernandez,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,R,0.271,133,0.258,7,0,0,0.317,0.295,21.8%,3.8%,29,5,51.4%,30.1%,22.6%,0.612,0.3021218264931825,0.5990027036199024
University of Central Florida,B. Mccabe,81310.26717557252,433316071.1537623,141.4198473282443,2.8135223555070885,-0.3514429661941112,-0.31077328270843224,37.50381679389313,1.0087241003271539,,,,0.0,0.5757906215921483,7.124318429661941,3.287895310796074,730256640.0,454726639.740458,5.112322791712105,2.142857142857143,454726639.740458,730256640.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730256640.0,454726639.740458,1200714369.2682662,454726639.740458,1212549568.348964,3.287895310796074,1.0,1.0,1.0,1.0,0.15376226826608505,0.3031624863685932,0.3653217011995638,4.515812431842966,4.347873500545257,4.054525627044711,0.7666303162486369,0.7193085826739021,0.05997818974918211,0.011195143779538412,0.013325722412819374,0.3293347873500545,0.0550817078247245,B. Mccabe,Ben Mccabe,Mccabe,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,R,0.39,249,0.298,11,0,14,0.544,0.366,21.3%,7.2%,53,18,50.6%,26.3%,28.9%,0.91,0.4058241957412632,0.881681950539741
University of Illinois-Chicago,S. Dee,328407.81176470587,376492976.1882353,166.5529411764706,2.7176470588235295,-0.28353467128027676,-0.4845921344537816,44.5,0.8058823529411765,,,,0.0,0.18823529411764706,7.064705882352941,3.929411764705882,5379.0,532660524.34117645,5.635294117647059,2.723529411764706,532660524.34117645,5379.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5379.0,532660524.34117645,1223506242.2588236,532660524.34117645,1234285086.1176472,3.929411764705882,,,,,0.14705882352941177,0.23529411764705882,0.4,5.41764705882353,7.064705882352941,4.723529411764706,0.7941176470588235,0.8008728472398305,0.023529411764705882,-0.020201057540966242,-0.018070478907685286,0.38235294117647056,-0.05986151432792777,S. Dee,Sean Dee,Dee,RF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,R,0.274,47,0.139,0,0,1,0.222,0.326,25.5%,12.8%,12,6,46.2%,22.8%,33.3%,0.548,0.30462540747686123,0.6058271415975549
University of Illinois-Chicago,J. Figueroa,329189.68902439025,455605406.699187,149.33739837398375,2.542682926829268,-0.34771116212338593,-0.3727112249054408,39.43292682926829,1.032520325203252,,,,0.0,0.3800813008130081,6.416666666666667,2.782520325203252,5379.0,492780200.9776423,5.420731707317073,2.686991869918699,492780200.9776423,5379.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5379.0,492780200.9776423,1208607757.5284553,492780200.9776423,1204503887.609756,2.782520325203252,1.0,,,1.0,0.1443089430894309,0.25609756097560976,0.31910569105691056,4.8272357723577235,6.1971544715447155,3.3069105691056913,0.524390243902439,0.6830905907678827,0.034552845528455285,-0.015610619885719667,-0.013480041252438707,0.2886178861788618,-0.03745368943847147,J. Figueroa,Joshua Figueroa,Figueroa,DH,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,R,0.301,149,0.236,6,0,3,0.354,0.32,24.8%,7.4%,37,11,46.1%,27.8%,29.7%,0.6739999999999999,0.3243537975809972,0.6596041815824071
University of Illinois-Chicago,R. Lin-peistrup,328492.02314814815,460699568.9876543,140.72530864197532,2.8549382716049383,-0.3570418954248366,-0.3553300949436962,37.46296296296296,0.8966049382716049,,,,0.0,0.45524691358024694,6.381172839506172,2.66820987654321,5379.0,527415352.7623457,5.174382716049383,2.427469135802469,527415352.7623457,5379.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5379.0,527415352.7623457,1206517358.2222223,527415352.7623457,1214095714.3703704,2.66820987654321,1.0,,,1.0,0.13271604938271606,0.20833333333333334,0.3317901234567901,4.637345679012346,2.5694444444444446,3.4212962962962963,0.7530864197530864,0.6761295236693818,0.038580246913580245,0.007236368925151672,0.00936694755843263,0.3425925925925926,0.019891306603244868,R. Lin-peistrup,Ryan Lin-peistrup,Lin-peistrup,SS,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,R,0.368,165,0.28,11,0,4,0.455,0.388,13.3%,13.3%,22,22,41.4%,17.9%,20.6%,0.843,0.37484171677941264,0.7972277198008636
UNC Wilmington,T. Marsh,234422.19851380042,368408634.15711254,157.69532908704883,2.887473460721868,0.16659319595354063,-0.30405284248248904,42.62314225053078,1.0382165605095541,,,,0.0,0.6549893842887473,6.298301486199575,2.694267515923567,730229504.0,555802176.7887473,4.763269639065817,2.7664543524416136,555802176.7887473,730229504.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730229504.0,555802176.7887473,1223661010.07431,555802176.7887473,1216702526.235669,2.694267515923567,1.0,1.0,,1.0,0.16878980891719744,0.2802547770700637,0.3067940552016985,5.3428874734607215,5.466029723991507,3.3036093418259025,0.6093418259023354,0.6941231666614294,0.03927813163481953,-0.0027307871282467784,-0.0006002084949658195,0.2664543524416136,-0.0009005916698998055,T. Marsh,Trevor Marsh,Marsh,LF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,L,L,0.352,189,.282,8,3,4,.442,0.366,27.0%,11.1%,51,21,47.1%,28.6%,18.4%,0.808,0.35653602748731544,0.7473287782341612
UNC Wilmington,K. Pitarra,211159.75,444147159.5354839,164.55322580645162,2.7483870967741937,-0.31445373814041744,-0.23831076779897628,45.04354838709678,1.0467741935483872,,,,0.0,0.5548387096774193,6.298387096774194,3.4612903225806453,730229504.0,572401407.4919355,5.258064516129032,2.932258064516129,572401407.4919355,730229504.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730229504.0,572401407.4919355,1226082752.0,572401407.4919355,1251552543.4096775,3.4612903225806453,1.0,1.0,1.0,1.0,0.12419354838709677,0.25806451612903225,0.38387096774193546,5.414516129032258,7.827419354838709,3.9725806451612904,0.5112903225806451,0.665498885834279,0.012903225806451613,-0.04482291980239216,-0.042692341169111206,0.27741935483870966,-0.12038461178376951,K. Pitarra,Kevin Pitarra,Pitarra,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,S,0.215,118,.156,2,0,0,.177,0.264,11.0%,11.0%,13,13,46.7%,14.8%,23.4%,0.441,0.25133941105329427,0.46057640673388733
UNC Wilmington,J. Croom,209561.80545163015,420396494.0587921,138.12667022982362,2.683057188669161,0.18069438299745338,-0.3031605523809524,38.53874933190807,0.9818278995189738,,,,0.0,0.6258685195082844,6.484233030464992,2.8834847675040085,730229504.0,573337199.8054516,4.817744521646179,2.360235168359166,573337199.8054516,730229504.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730229504.0,573337199.8054516,1213962213.1838589,573337199.8054516,1224618569.7487974,2.8834847675040085,1.0,,,1.0,0.09834313201496526,0.20951362907536078,0.25120256547300907,4.832175307322288,5.084981293425975,3.5323356493853555,0.6488508818813469,0.6168137808758407,0.039016568679850344,-0.014749637989865961,-0.012619059356585003,0.28006413682522713,-0.046614155935238155,J. Croom,Jac Croom,Croom,2B,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,R,L,0.277,373,.232,7,1,6,.314,0.302,16.1%,7.8%,60,29,50.7%,18.8%,27.9%,0.616,0.3162887016836655,0.6376197732113689
University of Delaware,J. Dunion,193804.91205211726,436741866.05320305,155.78175895765472,2.760043431053203,-0.4259745698409657,-0.4285942476190476,41.846905537459286,1.0629750271444083,,,,0.0,0.5874049945711184,6.438653637350706,3.182410423452769,730203136.0,561373758.8903366,6.293159609120521,3.58414766558089,561373758.8903366,730203136.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730203136.0,561373758.8903366,1216492395.5700326,561373758.8903366,1202045396.9533117,3.182410423452769,1.0,,,1.0,0.11183496199782844,0.18023887079261672,0.30401737242128124,4.906623235613464,5.169381107491857,3.8718783930510314,0.6894679695982627,0.6072282402542046,0.04234527687296417,0.0031476792770235443,0.005278257910304503,0.3485342019543974,0.04584971225214327,J. Dunion,Jake Dunion,Dunion,DH,University of Delaware,DEL,730203136,Delaware,BBC,R,R,R,0.372,263,0.332,10,2,5,0.455,0.395,15.6%,9.5%,41,25,45.9%,19.5%,21.1%,0.8500000000000001,0.3976961239184047,0.8595258779402855
University of Delaware,G. Dermott,174742.6802030457,430911033.1878173,187.14213197969542,2.8934010152284264,-0.5349701045088086,-0.3686421574344024,48.26903553299493,0.883248730964467,,,,0.0,0.6598984771573604,8.99492385786802,4.771573604060913,730203136.0,585697123.6700507,7.614213197969543,5.218274111675127,585697123.6700507,730203136.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730203136.0,585697123.6700507,1220769420.3604062,585697123.6700507,1195145808.568528,4.771573604060913,1.0,,,1.0,0.20304568527918782,0.28426395939086296,0.4467005076142132,5.187817258883249,7.416243654822335,5.517766497461929,0.7461928934010152,0.8409071217973014,0.04568527918781726,-0.01842224796922321,-0.01629166933594226,0.3248730964467005,-0.07313607407420687,G. Dermott,Gabe Dermott,Dermott,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,R,0.27,52,0.229,1,0,1,0.313,0.288,23.1%,7.7%,12,4,45.7%,18.7%,27.0%,0.601,0.2929381645415382,0.5739692288470468
Georgia Southern University,K. Hultgren,215416.98627787307,453519743.780446,159.79245283018867,3.044596912521441,0.2317157743920896,-0.20076287698412698,41.55917667238422,0.9777015437392796,,,,0.0,0.4391080617495712,7.823327615780446,3.391080617495712,730331648.0,478485414.6363636,5.578044596912521,2.5454545454545454,478485414.6363636,730331648.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730331648.0,478485414.6363636,1223778781.7530017,478485414.6363636,1205091974.806175,3.391080617495712,1.0,1.0,,1.0,0.09948542024013722,0.19210977701543738,0.29845626072041165,4.979416809605489,8.210977701543738,4.257289879931389,0.8662092624356775,0.623763788711223,0.030874785591766724,-0.006345153906370741,-0.004214575273089782,0.34476843910806176,0.038696810666997775,K. Hultgren,Kyler Hultgren,Hultgren,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,R,L,0.367,140,0.281,3,0,4,0.412,0.401,25.7%,10.0%,36,14,38.0%,26.1%,18.8%,0.813,0.3913985366450124,0.8423594694892323
James Madison University,C. Hartigan,239602.6625386997,405246259.95201236,141.72910216718267,2.8978328173374615,-0.42293039519213255,-0.3433290075656431,38.306501547987615,1.1346749226006192,,,,0.0,0.5510835913312694,5.6656346749226,2.5046439628482973,730340096.0,662393687.8560371,6.900928792569659,3.442724458204334,662393687.8560371,730340096.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730340096.0,662393687.8560371,1215925895.9256966,662393687.8560371,1223186318.6625388,2.5046439628482973,1.0,1.0,1.0,1.0,0.10061919504643962,0.2631578947368421,0.2585139318885449,4.636222910216718,3.345201238390093,3.178018575851393,0.673374613003096,0.6162298969303636,0.047987616099071206,0.021544064948803895,0.023674643582084855,0.3204334365325077,0.08149131707099859,C. Hartigan,Conor Hartigan,Hartigan,DH,James Madison University,JMU,730340096,James Madison,BBC,R,R,R,.414,167,.351,9,1,6,.547,.425,24.6%,7.8%,41,13,52.5%,31.4%,25.3%,0.972,0.4290758534223909,0.94506296228129
Dixie State University,T. Hollow,46423.65268817204,433451468.2677419,159.3483870967742,2.846236559139785,0.23526351423149905,-0.5158846440104567,42.089247311827954,0.9473118279569892,,,,0.0,0.4204301075268817,6.661290322580645,3.2655913978494624,730318592.0,436605406.9795699,6.7172043010752684,3.3870967741935485,436605406.9795699,730318592.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730318592.0,436605406.9795699,1206053802.6666667,436605406.9795699,1205893496.0172043,3.2655913978494624,1.0,,,1.0,0.1827956989247312,0.24946236559139784,0.34516129032258064,5.04516129032258,4.819354838709677,3.9526881720430107,0.6870967741935484,0.751505096724996,0.03870967741935484,-0.004263358416275893,-0.002132779782994934,0.3279569892473118,0.009128190687475807,T. Hollow,Tyler Hollow,Hollow,2B,Dixie State University,DSU,730318592,Dixie State,BBC,L,R,S,0.343,239,0.299,7,1,4,0.406,0.374,15.9%,9.6%,38,23,40.8%,19.2%,22.1%,0.78,0.36536560963515163,0.7713970772543726
Dixie State University,K. Hollow,46533.23059866962,427943043.9911308,141.50665188470066,2.8736141906873613,0.244312956827964,-0.4114828380528158,37.53547671840355,1.1019955654101996,,,,0.0,0.37472283813747226,6.565410199556541,2.710643015521064,730318592.0,431537978.29490024,6.6662971175166295,2.9733924611973395,431537978.29490024,730318592.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730318592.0,431537978.29490024,1207812985.4722838,431537978.29490024,1203663804.736142,2.710643015521064,1.0,,,1.0,0.14855875831485588,0.21951219512195122,0.37915742793791574,4.547671840354767,2.7838137472283813,3.4246119733924614,0.7139689578713969,0.6655280907141068,0.04212860310421286,0.009744237543561176,0.011874816176842131,0.3170731707317073,0.06085246288568807,K. Hollow,Kaden Hollow,Hollow,C,Dixie State University,DSU,730318592,Dixie State,BBC,L,R,L,0.401,232,0.32,11,1,8,0.508,0.414,17.7%,12.1%,41,28,42.0%,18.2%,21.3%,0.9219999999999999,0.41090490784070827,0.8955313146430034
University of Utah,A. Baeza,233355.1679731243,428570732.6494961,151.33258678611423,2.856662933930571,0.21433223634806667,-0.5363339753639418,41.1444568868981,0.9944008958566629,,,,0.0,0.43449048152295633,6.425531914893617,3.408734602463606,730328320.0,408054905.52407616,6.524076147816349,3.414333706606943,408054905.52407616,730328320.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730328320.0,408054905.52407616,1212603944.156775,408054905.52407616,1224326162.9204926,3.408734602463606,1.0,1.0,1.0,1.0,0.135498320268757,0.2732362821948488,0.38633818589025753,4.836506159014558,5.3505039193729,4.09518477043673,0.6864501679731243,0.714095897951382,0.04479283314669653,0.0027392960421229995,0.004869874675403958,0.29003359462486,0.015251763984482126,A. Baeza,Alex Baeza,Baeza,1B,University of Utah,UTAH,730328320,Utah,BBC,L,L,L,0.357,235,0.284,17,3,4,0.458,0.368,23.8%,9.4%,56,22,44.7%,24.0%,20.2%,0.8260000000000001,0.3707569514289486,0.7860931777312302
East Carolina University,R. Giles,314838.2643312102,355594626.44585985,158.86942675159236,2.8662420382165603,-0.2044489771449981,-0.47865073703366695,42.42356687898089,1.0732484076433122,,,,0.0,0.5445859872611465,5.882165605095541,2.6751592356687897,730270720.0,595355892.9458599,4.477707006369426,2.2738853503184715,595355892.9458599,730270720.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730270720.0,595355892.9458599,1212265688.0732484,595355892.9458599,1221428697.6815286,,,,,,0.0,0.0,0.0,5.264331210191083,6.726114649681529,3.2420382165605095,0.5668789808917197,0.399083522992301,0.025477707006369428,-0.018495040425513226,-0.01636446179223227,0.3057324840764331,-0.0765182421851424,R. Giles,Ryder Giles,Giles,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,R,0.251,82,0.179,1,0,1,0.239,0.291,15.9%,9.8%,13,8,38.5%,14.9%,17.8%,0.53,0.2899604220690102,0.5658522879732875
East Carolina University,L. Hoover,312243.3274179237,429086498.0727595,132.64951197870454,2.7834960070984915,0.2448367284305026,-0.29848397249809017,35.15705412599822,0.8438331854480923,,,,0.0,0.5714285714285714,6.629991126885537,2.623779946761313,730270720.0,450325790.85803014,4.573203194321207,2.05678793256433,450325790.85803014,730270720.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730270720.0,450325790.85803014,1212919215.6051464,450325790.85803014,1217157715.8189886,,,,,,0.0,0.0,0.0,4.42413487133984,2.1251109139307895,3.3149955634427686,0.6912156166814551,0.462026317289922,0.031055900621118012,-0.008233202642078984,-0.006102624008798025,0.34782608695652173,0.047097618952155626,L. Hoover,Lane Hoover,Hoover,RF,East Carolina University,ECU,730270720,East Carolina,BBC,L,L,L,0.374,302,0.341,15,2,0,0.416,0.423,6.6%,11.6%,20,35,37.6%,9.2%,20.1%,0.839,0.39879481110972564,0.8625207571324871
Hofstra University,V. Friscia,73553.72439024391,446626582.7902439,144.55121951219513,2.995121951219512,-0.28338433859397416,-0.5227641494935382,38.44634146341463,1.1073170731707318,,,,0.0,0.37926829268292683,4.735365853658537,2.071951219512195,730245120.0,606471592.3646342,6.208536585365854,3.2170731707317075,606471592.3646342,730245120.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,730245120.0,606471592.3646342,1237203738.8585365,606471592.3646342,1247368018.1243901,2.071951219512195,1.0,,,1.0,0.1378048780487805,0.19390243902439025,0.3,4.7524390243902435,2.682926829268293,2.6146341463414635,0.5426829268292683,0.6057592268927887,0.03414634146341464,-0.004494090946324006,-0.0023635123130430467,0.2951219512195122,0.05821530559381255,V. Friscia,Vito Friscia,Friscia,C,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,0.382,200,0.299,14,0,8,0.527,0.395,19.5%,13.5%,39,27,39.0%,18.1%,10.9%,0.922,0.40858309088271483,0.889202341892138
